,WACC=7%,WACC=8%,WACC=9%,WACC=10%,WACC=11%
g=1.0%,70.43652961163679,59.076044403256496,50.56178587473038,43.944756674510025,38.655571439227245
g=1.5%,76.18985848085404,63.096375597756946,53.50018650272757,46.166715845997714,40.38122149519185
g=2.0%,83.09385312391476,67.78676199134081,56.858358649010086,48.66641991392138,42.29861044626363
g=2.5%,91.53206879876672,73.32994591103083,60.73317266395143,51.499417857568176,44.44157456804974
g=3.0%,102.07983839233174,79.98176661465888,65.25378901471638,54.73712979316454,46.852409205059125
g=3.5%,115.64125644120098,88.11176969687091,70.59633561107489,58.47295125731415,49.58468846033642
g=4.0%,133.7231471730267,98.27427354963595,77.00739152670515,62.83140963215543,52.70729332351047
