ticker,name,fair_value,price,upside_pct,signal,weight,investment
CNQ.TO,Canadian Natural Resources,184.52295576200535,,,Insufficient Data,0.5,5000.0
ENB.TO,Enbridge,475.2147089994342,,,Insufficient Data,0.5,5000.0
