Date,Value Portfolio,S&P/TSX Composite
2025-09-16,1.010355646063378,0.9960653467007577
2025-09-17,1.0114979475335562,0.9962862022612213
2025-09-18,1.009968561566487,1.0007645000169891
2025-09-19,1.0060599962004948,1.0114641157495499
2025-09-22,1.0128759884653202,1.0179402670653392
2025-09-23,1.0180986186370777,1.0130678403511604
2025-09-24,1.0370430787493257,1.0110767558017058
2025-09-25,1.0310943209389987,1.0102273113383848
2025-09-26,1.0343615650861882,1.0112228867945363
2025-09-29,1.0292811221522302,1.0183785936809826
2025-09-30,1.0305088040895436,1.0201080758808738
2025-10-01,1.020024234846913,1.0229927361880329
2025-10-02,1.0178025160902628,1.0247901739449898
2025-10-03,1.026957983905916,1.0353606475739865
2025-10-06,1.033828412096839,1.0374061496593727
2025-10-07,1.035724465911247,1.031283314150046
2025-10-08,1.0296716096081016,1.0363902008086712
2025-10-09,1.0248283410425452,1.0285073561890525
2025-10-10,0.999310074954678,1.0142672824785093
2025-10-14,0.9931376622184337,1.0313478852018283
2025-10-15,0.9932647524989617,1.0409805854158884
2025-10-16,0.9795135324642936,1.0349223873211923
2025-10-17,0.9731042617969018,1.0230199449559991
2025-10-20,0.9754829086412921,1.0334817162388301
2025-10-21,0.9721551881760135,1.0155550535574738
2025-10-22,0.981644551722344,1.0187557337501276
2025-10-23,0.9903496898344701,1.0256634426709932
2025-10-24,0.9890067315192808,1.0313308963125616
2025-10-27,0.9967262872719058,1.0287044538496823
2025-10-28,0.98787694080662,1.0335938030902792
2025-10-29,0.9968937035304065,1.0242533648618806
2025-10-30,0.9996307368742106,1.0254153783425644
2025-10-31,0.9995105791734759,1.0281913363035577
2025-11-03,1.0007617169181766,1.0286806295870004
2025-11-04,0.9918214044165617,1.0117835201403285
2025-11-05,1.004019276764964,1.022850056063335
2025-11-06,1.0011724874086223,1.0148686626134011
2025-11-07,1.0060119417175988,1.0163500804848633
2025-11-10,1.0123480636604634,1.0300907073961132
2025-11-11,1.0226676039862024,1.0332404872838168
