ticker,name,sector,price,pe,pb,ps,ev_ebitda,dcf_fair_value,cca_fair_value,ddm_fair_value,fair_value,upside_pct,signal
CNQ.TO,Canadian Natural Resources,Energy,,,,3.2644579332080514,7.316000983963083,76.2220187239132,69.94000171525587,407.4068468468469,184.52295576200535,,Insufficient Data
ENB.TO,Enbridge,Energy / Infrastructure,,,,2.2456175181765192,12.254660494962339,21.641080533486615,67.0299937767885,1336.9730526880276,475.2147089994342,,Insufficient Data
CNR.TO,Canadian National Railway,Industrials,,,,5.936087759593158,13.60373698211739,79.58995868411036,189.1349280483111,754.2477113903527,340.9908660409247,,Insufficient Data
CP.TO,Canadian Pacific Kansas City,Industrials,,,,7.287180614935668,15.911437186582308,20.112134748125438,113.40299890374024,164.03194847020933,99.18236070735834,,Insufficient Data
RY.TO,Royal Bank of Canada,Financials,,,,5.934370399086154,,,250.69707840432756,1815.8698290126865,1033.283453708507,,Insufficient Data
TD.TO,Toronto-Dominion Bank,Financials,,,,4.498879942559684,,,195.10397372565657,1315.4304480412848,755.2672108834706,,Insufficient Data
